"data","preco"
2020-01-02,6165.5
2020-01-03,6077
2020-01-06,6097.5
2020-01-07,6134.5
2020-01-08,6154
2020-01-09,6156
2020-01-10,6157
2020-01-13,6177
2020-01-14,6247
2020-01-15,6232
2020-01-16,6300.5
2020-01-17,6276.5
2020-01-20,6245
2020-01-21,6158.5
2020-01-22,6103.5
2020-01-23,6050
2020-01-24,5968
2020-01-27,5779
2020-01-28,5715
2020-01-29,5698
2020-01-30,5621
2020-01-31,5570
2020-02-03,5595
2020-02-04,5652
2020-02-05,5714
2020-02-06,5726
2020-02-07,5653
2020-02-10,5659.5
2020-02-11,5696
2020-02-12,5747
2020-02-13,5716
2020-02-14,5737
2020-02-17,5802
2020-02-18,5728
2020-02-19,5745.5
2020-02-20,5730
2020-02-21,5702
2020-02-24,5657.5
2020-02-25,5663.5
2020-02-26,5614
2020-02-27,5618
2020-02-28,5573
2020-03-02,5640
2020-03-03,5668
2020-03-04,5694.5
2020-03-05,5667.5
2020-03-06,5624
2020-03-09,5483
2020-03-10,5598
2020-03-11,5552
2020-03-12,5386.5
2020-03-13,5530.5
2020-03-16,5211
2020-03-17,5205
2020-03-18,4860.5
2020-03-19,4685
2020-03-20,4855
2020-03-23,4617.5
2020-03-24,4789.5
2020-03-25,4754
2020-03-26,4775.5
2020-03-27,4774
2020-03-30,4763
2020-03-31,4797
2020-04-01,4772
2020-04-02,4821.5
2020-04-03,4863.5
2020-04-06,4867
2020-04-07,5067.5
2020-04-08,4976
2020-04-09,4963.5
2020-04-14,5119
2020-04-15,5054.5
2020-04-16,5098.5
2020-04-17,5175.5
2020-04-20,5169.5
2020-04-21,4994.5
2020-04-22,5034
2020-04-23,5120.5
2020-04-24,5118
2020-04-27,5165.5
2020-04-28,5169.5
2020-04-29,5184
2020-04-30,5231
2020-05-01,5061
2020-05-04,5058
2020-05-05,5111.5
2020-05-06,5199.5
2020-05-07,5227.5
2020-05-11,5231
2020-05-12,5234
2020-05-13,5212.5
2020-05-14,5155.5
2020-05-15,5165
2020-05-18,5249.5
2020-05-19,5314
2020-05-20,5333
2020-05-21,5387
2020-05-22,5242.5
2020-05-26,5341.5
2020-05-27,5308.5
2020-05-28,5278.5
2020-05-29,5332.5
2020-06-01,5376.5
2020-06-02,5463
2020-06-03,5499
2020-06-04,5452.5
2020-06-05,5588
2020-06-08,5659
2020-06-09,5680.5
2020-06-10,5801
2020-06-11,5801.5
2020-06-12,5785.5
2020-06-15,5646
2020-06-16,5759.5
2020-06-17,5734
2020-06-18,5799
2020-06-19,5835.5
2020-06-22,5825
2020-06-23,5895
2020-06-24,5871
2020-06-25,5880.5
2020-06-26,5985.5
2020-06-29,5957
2020-06-30,6038
2020-07-01,6016.5
2020-07-02,6080
2020-07-03,6022.5
2020-07-06,6112
2020-07-07,6086
2020-07-08,6194
2020-07-09,6339.5
2020-07-10,6322.5
2020-07-13,6545
2020-07-14,6489.5
2020-07-15,6507
2020-07-16,6385
2020-07-17,6454.5
2020-07-20,6416.5
2020-07-21,6513
2020-07-22,6527
2020-07-23,6533.5
2020-07-24,6412.5
2020-07-27,6425.5
2020-07-28,6399.5
2020-07-29,6475
2020-07-30,6433.5
2020-07-31,6446.5
2020-08-03,6441
2020-08-04,6440
2020-08-05,6525.5
2020-08-06,6453.5
2020-08-07,6437
2020-08-10,6363
2020-08-11,6356.5
2020-08-12,6379
2020-08-13,6380
2020-08-14,6342.5
2020-08-17,6439.5
2020-08-18,6492.5
2020-08-19,6667
2020-08-20,6594.5
2020-08-21,6564.5
2020-08-24,6579.5
2020-08-25,6544.5
2020-08-26,6603.5
2020-08-27,6602.5
2020-08-28,6728
2020-09-01,6788.5
2020-09-02,6719
2020-09-03,6613
2020-09-04,6678
2020-09-07,6790.5
2020-09-08,6767.5
2020-09-09,6709
2020-09-10,6710.5
2020-09-11,6757.5
2020-09-14,6788
